extracurricularactivities,skills,location,yearofstudy,subjects,gpa,languages,clubmemberships,interestarea,gender
Sports Team,"Leadership, Public Speaking, Data Analysis, Programming, Problem Solving, Artistic",Andhra Pradesh,Sophomore,Mathematics,4.86,"Spanish, Japanese, German, Chinese, French","Coding Club, Volunteer Group, Art Club, Music Club",History,Female
Art Club,"Data Analysis, Artistic, Programming, Problem Solving, Leadership",Arunachal Pradesh,Junior,Psychology,7.44,"Spanish, German","Sports Team, Debate Club, Coding Club, Volunteer Group, Art Club, Music Club",Computer science,Male
Music Club,"Programming, Data Analysis, Artistic, Problem Solving, Public Speaking",Assam,Junior,Psychology,7.14,"English, German, Spanish, Chinese, Japanese, French","Music Club, Volunteer Group, Sports Team, Debate Club, Coding Club",Computer science,Male
Volunteer Group,"Data Analysis, Leadership, Problem Solving, Public Speaking",Andaman & Nicobar Islands,Senior,Psychology,5.42,"Japanese, Spanish",Music Club,Biology,Male
Volunteer Group,"Leadership, Data Analysis, Programming",Chandigarh,Graduate,Computer Science,5.76,"Spanish, English","Coding Club, Sports Team, Volunteer Group, Debate Club, Art Club, Music Club",Biology,Female
Art Club,"Data Analysis, Problem Solving, Programming, Leadership, Public Speaking",Dadra & Nagar Haveli and Daman & Diu,Sophomore,Computer Science,5.9,"German, Spanish, Chinese","Art Club, Debate Club, Coding Club, Music Club, Sports Team, Volunteer Group",Biology,Female
Art Club,"Problem Solving, Data Analysis, Leadership, Artistic, Public Speaking",Delhi,Graduate,Biology,4.7,"Spanish, English, French, German, Japanese, Chinese","Art Club, Sports Team, Debate Club, Coding Club",History,Male
Coding Club,"Artistic, Problem Solving",Jammu & Kashmir,Junior,History,6.36,"Spanish, German, Chinese",Debate Club,Computer science,Female
Sports Team,"Public Speaking, Programming, Problem Solving, Leadership, Data Analysis",Ladakh,Junior,Psychology,5.74,"Chinese, German","Sports Team, Art Club",Computer science,Male
Music Club,Public Speaking,Lakshadweep,Graduate,Mathematics,5.72,French,Art Club,Biology,Male
Sports Team,"Programming, Public Speaking, Data Analysis",Puducherry,Junior,Psychology,5.6,"Spanish, German, French, English, Japanese, Chinese",Music Club,History,Male
Volunteer Group,"Artistic, Data Analysis, Leadership, Public Speaking, Problem Solving, Programming",Bihar,Sophomore,Biology,4.7,"French, English, Spanish","Volunteer Group, Art Club, Sports Team, Debate Club, Coding Club, Music Club",History,Female
Coding Club,"Programming, Data Analysis, Artistic, Public Speaking",Chhattisgarh,Sophomore,Computer Science,5.88,"Japanese, German, Chinese, English, Spanish, French","Debate Club, Sports Team, Art Club, Music Club, Volunteer Group, Coding Club",Mathematics,Female
Debate Club,Data Analysis,Goa,Freshman,History,7.26,Japanese,"Sports Team, Art Club, Volunteer Group, Coding Club",Mathematics,Male
Music Club,"Data Analysis, Public Speaking",Gujarat,Junior,Physics,5.96,"Spanish, French, Japanese, English, Chinese","Sports Team, Art Club",History,Male
Debate Club,"Leadership, Programming, Public Speaking, Artistic, Data Analysis, Problem Solving",Haryana,Graduate,Biology,4.68,"German, French","Sports Team, Coding Club, Debate Club, Music Club",History,Male
Coding Club,"Public Speaking, Data Analysis",Himachal Pradesh,Graduate,Physics,4.78,"Spanish, German, French","Volunteer Group, Debate Club",History,Male
Debate Club,"Public Speaking, Problem Solving",Jharkhand,Sophomore,Biology,7.3,"French, Japanese, Chinese, English","Art Club, Music Club",Mathematics,Female
Coding Club,"Problem Solving, Data Analysis, Programming, Leadership, Artistic",Karnataka,Sophomore,Biology,6.74,"Spanish, German, French, Chinese","Debate Club, Art Club, Music Club",Mathematics,Female
Sports Team,"Public Speaking, Data Analysis, Leadership",Kerala,Graduate,Physics,5.2,"French, Spanish, English, Chinese, Japanese","Volunteer Group, Coding Club, Debate Club, Music Club, Sports Team, Art Club",History,Male
Music Club,"Programming, Problem Solving, Data Analysis, Artistic",Madhya Pradesh,Junior,Computer Science,4.92,German,"Debate Club, Coding Club, Sports Team",History,Male
Sports Team,"Data Analysis, Problem Solving, Leadership, Public Speaking",Maharashtra,Sophomore,History,6.06,"Japanese, English, German, Chinese","Music Club, Art Club, Sports Team",Mathematics,Female
Music Club,"Problem Solving, Programming, Leadership, Data Analysis, Public Speaking, Artistic",Manipur,Sophomore,History,5.44,"Chinese, Spanish, German",Sports Team,Biology,Female
Music Club,"Programming, Artistic, Leadership, Public Speaking",Meghalaya,Sophomore,Mathematics,4.5,"German, English, Spanish, Chinese","Music Club, Debate Club, Coding Club, Sports Team, Art Club, Volunteer Group",Biology,Male
Art Club,"Programming, Public Speaking, Problem Solving",Mizoram,Sophomore,Computer Science,5.46,"German, Japanese, Spanish, Chinese","Music Club, Debate Club, Sports Team, Volunteer Group",History,Male
Debate Club,"Programming, Leadership, Artistic, Data Analysis, Problem Solving",Nagaland,Senior,Mathematics,7.48,Spanish,"Volunteer Group, Music Club, Coding Club, Art Club, Debate Club",Computer science,Male
Coding Club,"Public Speaking, Artistic, Problem Solving, Programming, Leadership",Odisha,Junior,Physics,6.54,"English, Spanish, German, Japanese","Coding Club, Debate Club, Sports Team, Music Club, Volunteer Group, Art Club",Biology,Female
Music Club,"Problem Solving, Leadership, Artistic, Public Speaking, Programming, Data Analysis",Punjab,Sophomore,History,6.26,"Spanish, English","Coding Club, Volunteer Group, Sports Team",Biology,Female
Volunteer Group,"Artistic, Public Speaking, Data Analysis, Programming, Leadership",Rajasthan,Graduate,Psychology,4.98,"English, Spanish, Chinese, German, French, Japanese","Art Club, Sports Team",History,Female
Debate Club,"Leadership, Programming",Sikkim,Sophomore,Biology,4.0,"French, Chinese","Volunteer Group, Coding Club, Art Club, Sports Team, Music Club",History,Male
Music Club,Data Analysis,Tamil Nadu,Sophomore,History,4.1,"Chinese, English, German, Japanese, French",Debate Club,Biology,Male
Volunteer Group,"Programming, Leadership, Data Analysis, Problem Solving, Artistic, Public Speaking",Telangana,Senior,History,6.32,"German, Japanese, Chinese, English","Coding Club, Debate Club, Art Club",History,Female
Music Club,Problem Solving,Tripura,Freshman,History,6.0,"French, German, Chinese, Spanish, English","Sports Team, Debate Club, Music Club, Volunteer Group",Computer science,Female
Coding Club,Programming,Uttar Pradesh,Graduate,Computer Science,5.8,"French, Chinese","Sports Team, Art Club, Volunteer Group, Debate Club",Computer science,Male
Art Club,"Programming, Problem Solving, Artistic, Data Analysis, Leadership",Uttarakhand,Junior,Computer Science,6.84,French,"Art Club, Coding Club, Debate Club",Computer science,Female
Sports Team,"Artistic, Public Speaking",West Bengal,Graduate,Psychology,6.76,"English, Spanish, French, German, Chinese","Volunteer Group, Coding Club, Sports Team",Mathematics,Female
Sports Team,"Artistic, Programming, Data Analysis, Leadership",Andhra Pradesh,Sophomore,Psychology,4.76,"English, Chinese, Spanish, Japanese, French, German",Music Club,History,Male
Art Club,"Leadership, Data Analysis, Problem Solving, Programming, Public Speaking, Artistic",Arunachal Pradesh,Junior,Biology,5.44,"Japanese, English, German, Chinese, Spanish","Coding Club, Art Club",History,Female
Art Club,"Data Analysis, Artistic, Programming, Public Speaking, Problem Solving, Leadership",Assam,Sophomore,Mathematics,6.1,Japanese,"Volunteer Group, Sports Team, Music Club",Computer science,Male
Music Club,"Leadership, Problem Solving",Andaman & Nicobar Islands,Sophomore,Psychology,6.82,"English, Chinese","Music Club, Sports Team, Art Club, Debate Club",Computer science,Male
Music Club,Problem Solving,Chandigarh,Sophomore,Computer Science,5.96,"Japanese, Spanish","Music Club, Debate Club, Sports Team",Biology,Male
Music Club,"Problem Solving, Data Analysis, Public Speaking, Programming, Artistic, Leadership",Dadra & Nagar Haveli and Daman & Diu,Graduate,Biology,6.66,"Japanese, Chinese, Spanish, German","Music Club, Sports Team",History,Male
Art Club,"Problem Solving, Programming",Delhi,Senior,History,4.32,"German, French, Spanish, Chinese, English, Japanese","Art Club, Debate Club, Volunteer Group, Sports Team, Music Club, Coding Club",Biology,Male
Art Club,"Data Analysis, Leadership, Public Speaking, Artistic, Programming, Problem Solving",Jammu & Kashmir,Junior,History,4.5,"Spanish, Japanese, English, French, Chinese, German","Debate Club, Volunteer Group, Music Club, Art Club, Coding Club, Sports Team",History,Male
Music Club,"Public Speaking, Artistic, Programming, Data Analysis, Leadership, Problem Solving",Ladakh,Senior,Physics,7.24,"Chinese, French, German, English","Coding Club, Music Club, Debate Club",Computer science,Male
Art Club,"Data Analysis, Problem Solving, Programming",Lakshadweep,Sophomore,History,5.34,"Chinese, English, French, Spanish",Music Club,Computer science,Female
Debate Club,"Programming, Problem Solving, Leadership",Puducherry,Junior,Physics,6.6,"English, French","Sports Team, Volunteer Group, Music Club, Debate Club, Art Club",History,Male
Sports Team,"Public Speaking, Artistic, Leadership, Data Analysis, Programming, Problem Solving",Bihar,Senior,Psychology,5.1,"Chinese, Spanish, English","Music Club, Sports Team, Coding Club, Art Club, Debate Club, Volunteer Group",Computer science,Male
Art Club,"Leadership, Artistic, Data Analysis, Programming",Chhattisgarh,Freshman,Mathematics,6.0,"English, French, Chinese, German","Art Club, Music Club, Debate Club, Coding Club",Computer science,Female
Art Club,"Problem Solving, Leadership, Data Analysis, Programming",Goa,Freshman,Biology,6.5,"Chinese, Japanese","Art Club, Coding Club, Volunteer Group, Debate Club",Mathematics,Female
Sports Team,"Public Speaking, Leadership, Artistic, Problem Solving, Data Analysis",Gujarat,Freshman,Biology,5.46,"Spanish, French, German, Chinese","Art Club, Volunteer Group, Music Club, Sports Team, Coding Club",History,Female
Music Club,"Data Analysis, Artistic, Problem Solving, Leadership, Public Speaking",Haryana,Junior,Physics,5.54,"French, Spanish, Chinese, English","Music Club, Sports Team, Art Club",Biology,Male
Sports Team,"Leadership, Public Speaking, Artistic",Himachal Pradesh,Senior,Mathematics,7.68,"German, Spanish, English, Japanese, French",Music Club,Mathematics,Female
Sports Team,"Artistic, Public Speaking, Problem Solving, Programming",Jharkhand,Sophomore,Psychology,7.78,"German, French",Sports Team,Computer science,Male
Art Club,"Leadership, Programming, Problem Solving, Artistic, Public Speaking, Data Analysis",Karnataka,Senior,Mathematics,5.54,"Spanish, Japanese, Chinese, French, English",Sports Team,Mathematics,Male
Art Club,"Problem Solving, Public Speaking, Programming, Artistic",Kerala,Junior,Mathematics,4.34,"Spanish, English, German","Volunteer Group, Coding Club, Music Club, Sports Team, Art Club",History,Male
Debate Club,"Programming, Data Analysis, Problem Solving, Public Speaking",Madhya Pradesh,Senior,Computer Science,6.02,"French, Chinese, Spanish, German","Music Club, Debate Club, Art Club, Sports Team",History,Male
Coding Club,"Programming, Problem Solving",Maharashtra,Graduate,Biology,4.36,English,"Debate Club, Coding Club, Sports Team, Music Club",History,Female
Volunteer Group,"Artistic, Problem Solving, Public Speaking, Leadership",Manipur,Senior,Computer Science,4.42,"German, Japanese, Chinese, French, English","Coding Club, Debate Club, Volunteer Group, Music Club, Sports Team",History,Female
Volunteer Group,"Problem Solving, Data Analysis, Leadership",Meghalaya,Sophomore,Biology,4.78,"Spanish, German","Sports Team, Art Club, Music Club, Debate Club, Volunteer Group, Coding Club",History,Male
Coding Club,Leadership,Mizoram,Graduate,History,5.78,Chinese,Coding Club,Mathematics,Male
Debate Club,Artistic,Nagaland,Sophomore,Physics,6.2,"Japanese, German","Debate Club, Volunteer Group",Mathematics,Male
Sports Team,Data Analysis,Odisha,Freshman,Computer Science,5.46,"English, Chinese","Art Club, Volunteer Group, Sports Team, Debate Club",History,Female
Sports Team,"Programming, Leadership, Problem Solving",Punjab,Freshman,History,6.3,"Chinese, Japanese, German","Music Club, Art Club, Coding Club, Sports Team",Biology,Male
Debate Club,Programming,Rajasthan,Freshman,Psychology,7.92,"Chinese, Japanese, Spanish, French","Coding Club, Sports Team, Volunteer Group, Art Club, Debate Club, Music Club",Mathematics,Male
Debate Club,Data Analysis,Sikkim,Graduate,Computer Science,5.38,"Chinese, German, Spanish","Coding Club, Debate Club, Volunteer Group, Art Club",Mathematics,Female
Sports Team,Data Analysis,Tamil Nadu,Freshman,Physics,7.66,"English, German, French, Japanese, Spanish","Art Club, Coding Club, Music Club, Volunteer Group, Sports Team",Computer science,Female
Debate Club,Data Analysis,Telangana,Graduate,Computer Science,6.26,"Japanese, English, Chinese, French, Spanish",Debate Club,Mathematics,Male
Debate Club,Leadership,Tripura,Graduate,Mathematics,5.38,"German, French, English, Chinese, Japanese","Sports Team, Debate Club, Volunteer Group",Computer science,Female
Music Club,"Data Analysis, Programming, Artistic, Public Speaking",Uttar Pradesh,Graduate,Mathematics,7.38,"Spanish, Chinese, French, Japanese, English, German","Coding Club, Music Club",Computer science,Female
Music Club,"Programming, Data Analysis, Public Speaking, Leadership",Uttarakhand,Graduate,Psychology,5.56,"English, German","Music Club, Volunteer Group, Coding Club, Sports Team",Mathematics,Male
Music Club,Artistic,West Bengal,Senior,History,4.22,"English, German, Spanish, Japanese","Coding Club, Debate Club, Art Club, Music Club",History,Female
Coding Club,"Data Analysis, Problem Solving",Andhra Pradesh,Graduate,Physics,6.54,"English, German, Japanese, Chinese, Spanish, French",Debate Club,Biology,Male
Sports Team,"Data Analysis, Public Speaking, Artistic",Arunachal Pradesh,Senior,Psychology,4.62,"English, German, Japanese","Coding Club, Debate Club, Sports Team, Art Club, Volunteer Group",History,Female
Sports Team,"Problem Solving, Leadership, Public Speaking, Artistic, Data Analysis, Programming",Assam,Graduate,Mathematics,4.94,"French, Japanese, Chinese, English","Coding Club, Music Club, Sports Team, Volunteer Group, Art Club, Debate Club",Biology,Male
Sports Team,"Data Analysis, Artistic",Andaman & Nicobar Islands,Senior,Computer Science,6.22,Chinese,"Music Club, Art Club",Computer science,Male
Art Club,"Public Speaking, Leadership, Programming, Problem Solving",Chandigarh,Graduate,Psychology,7.7,"Spanish, Chinese","Sports Team, Coding Club",Computer science,Male
Debate Club,"Artistic, Programming, Leadership, Public Speaking, Problem Solving, Data Analysis",Dadra & Nagar Haveli and Daman & Diu,Freshman,Computer Science,7.32,"Japanese, Spanish",Volunteer Group,Computer science,Female
Art Club,"Leadership, Data Analysis, Problem Solving, Artistic, Programming",Delhi,Graduate,Physics,7.98,German,"Debate Club, Art Club",Mathematics,Male
Debate Club,"Leadership, Public Speaking, Data Analysis, Problem Solving",Jammu & Kashmir,Sophomore,Psychology,6.74,German,"Coding Club, Music Club, Art Club",History,Female
Debate Club,Public Speaking,Ladakh,Freshman,History,7.36,"Chinese, German, Japanese, Spanish, English, French","Debate Club, Coding Club, Volunteer Group, Art Club",Mathematics,Male
Art Club,"Problem Solving, Programming, Artistic, Public Speaking, Data Analysis",Lakshadweep,Graduate,Mathematics,5.24,"Chinese, English, Spanish, French","Art Club, Coding Club, Volunteer Group, Debate Club, Sports Team, Music Club",Mathematics,Male
Debate Club,"Leadership, Public Speaking, Programming, Data Analysis, Problem Solving",Puducherry,Graduate,Physics,6.14,"German, Chinese, English, Spanish, French","Art Club, Volunteer Group",History,Female
Music Club,"Leadership, Problem Solving, Programming, Artistic",Bihar,Junior,Biology,5.2,"English, German, Japanese, French, Spanish, Chinese",Volunteer Group,Computer science,Male
Coding Club,"Public Speaking, Artistic, Leadership, Programming",Chhattisgarh,Graduate,Computer Science,4.46,Japanese,"Music Club, Art Club, Sports Team, Coding Club, Debate Club, Volunteer Group",History,Male
Music Club,Public Speaking,Goa,Graduate,Psychology,7.92,Chinese,"Debate Club, Sports Team, Art Club",Mathematics,Female
Debate Club,"Problem Solving, Artistic, Data Analysis",Gujarat,Graduate,Computer Science,4.18,"French, German","Music Club, Coding Club, Sports Team, Debate Club, Art Club, Volunteer Group",History,Male
Coding Club,"Programming, Leadership, Data Analysis",Haryana,Sophomore,Mathematics,6.28,"Chinese, French, Japanese","Volunteer Group, Coding Club",History,Male
Art Club,"Public Speaking, Artistic",Himachal Pradesh,Graduate,Computer Science,7.0,German,"Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Computer science,Male
Volunteer Group,"Leadership, Programming, Data Analysis",Jharkhand,Graduate,Computer Science,4.56,"Spanish, Japanese, Chinese, French, German","Volunteer Group, Art Club",History,Male
Volunteer Group,"Problem Solving, Artistic, Leadership, Programming, Data Analysis",Karnataka,Graduate,Computer Science,7.28,"French, Chinese, German, English, Japanese, Spanish","Sports Team, Music Club, Art Club",Mathematics,Female
Coding Club,"Public Speaking, Leadership",Kerala,Sophomore,Computer Science,7.82,"Spanish, German","Art Club, Sports Team, Coding Club, Debate Club, Music Club, Volunteer Group",Computer science,Female
Music Club,"Artistic, Public Speaking",Madhya Pradesh,Junior,Psychology,7.78,"German, English","Sports Team, Coding Club",Computer science,Male
Debate Club,"Leadership, Public Speaking, Data Analysis",Maharashtra,Senior,Biology,5.44,"Spanish, German, French, English",Art Club,Computer science,Female
Art Club,"Artistic, Public Speaking, Programming, Data Analysis, Problem Solving, Leadership",Manipur,Junior,Psychology,7.44,"French, Japanese",Debate Club,Mathematics,Male
Coding Club,"Leadership, Programming, Public Speaking, Problem Solving, Artistic, Data Analysis",Meghalaya,Sophomore,History,4.56,"Chinese, English, German, Japanese, Spanish","Volunteer Group, Art Club, Sports Team",Biology,Female
Debate Club,"Public Speaking, Leadership, Programming, Artistic, Data Analysis",Mizoram,Junior,Biology,6.68,"English, Spanish, Japanese, French, German","Volunteer Group, Art Club, Coding Club, Music Club",Computer science,Male
Sports Team,Artistic,Nagaland,Graduate,Mathematics,4.02,"English, Spanish, German, French, Japanese, Chinese","Coding Club, Debate Club, Music Club, Volunteer Group, Art Club, Sports Team",History,Male
Debate Club,"Public Speaking, Data Analysis, Artistic",Odisha,Freshman,Biology,6.6,"French, Spanish, Japanese, English","Debate Club, Music Club, Coding Club",Mathematics,Male
Debate Club,"Public Speaking, Data Analysis, Leadership, Problem Solving, Artistic",Punjab,Senior,Physics,4.58,"Chinese, English, French, Japanese","Volunteer Group, Music Club, Sports Team, Art Club, Coding Club, Debate Club",Biology,Male
Coding Club,"Artistic, Problem Solving",Rajasthan,Freshman,Psychology,4.04,French,"Art Club, Coding Club, Volunteer Group, Debate Club, Sports Team",History,Male
Volunteer Group,"Public Speaking, Problem Solving, Leadership, Programming, Artistic",Sikkim,Graduate,History,5.82,"Japanese, Spanish, Chinese, German, French, English","Music Club, Debate Club, Sports Team, Volunteer Group",Computer science,Male
Debate Club,Public Speaking,Tamil Nadu,Graduate,Biology,4.24,"English, French, Chinese, Spanish, German","Sports Team, Volunteer Group, Coding Club",History,Female
Music Club,"Public Speaking, Data Analysis, Problem Solving, Artistic, Leadership, Programming",Telangana,Graduate,History,5.5,"Chinese, French, Japanese, German, Spanish","Art Club, Sports Team, Coding Club, Volunteer Group, Music Club",Mathematics,Male
Music Club,"Data Analysis, Programming",Tripura,Junior,Mathematics,7.92,"Chinese, English, German, French, Japanese, Spanish","Volunteer Group, Coding Club, Sports Team, Debate Club",Mathematics,Female
Sports Team,"Public Speaking, Data Analysis",Uttar Pradesh,Junior,Psychology,4.9,English,"Coding Club, Art Club, Music Club, Debate Club",History,Male
Volunteer Group,"Data Analysis, Programming, Public Speaking, Problem Solving, Artistic, Leadership",Uttarakhand,Sophomore,History,7.78,Chinese,"Music Club, Art Club",Computer science,Female
Art Club,"Public Speaking, Data Analysis, Artistic",West Bengal,Freshman,Physics,7.8,"German, English","Coding Club, Art Club, Debate Club, Volunteer Group, Music Club, Sports Team",Mathematics,Female
Music Club,"Data Analysis, Leadership, Problem Solving, Artistic",Andhra Pradesh,Freshman,Psychology,7.88,"Spanish, Chinese",Volunteer Group,Computer science,Female
Music Club,"Public Speaking, Artistic",Arunachal Pradesh,Sophomore,Biology,4.44,"German, Chinese, French, English, Japanese",Sports Team,History,Male
Volunteer Group,"Leadership, Problem Solving, Programming",Assam,Freshman,Physics,4.3,"English, Japanese",Volunteer Group,History,Male
Music Club,Leadership,Andaman & Nicobar Islands,Freshman,Physics,6.0,"German, Spanish","Art Club, Volunteer Group, Coding Club, Debate Club, Sports Team, Music Club",Mathematics,Female
Volunteer Group,"Problem Solving, Leadership, Data Analysis",Chandigarh,Freshman,History,5.36,"Chinese, German, Japanese, Spanish, English","Coding Club, Art Club, Debate Club, Music Club, Volunteer Group, Sports Team",History,Male
Art Club,"Data Analysis, Public Speaking, Problem Solving, Programming, Leadership",Dadra & Nagar Haveli and Daman & Diu,Freshman,Mathematics,4.74,"Spanish, Japanese, Chinese, French, German, English","Volunteer Group, Art Club",History,Female
Coding Club,"Leadership, Problem Solving, Artistic",Delhi,Sophomore,Mathematics,5.52,"German, Spanish, English, Chinese","Music Club, Coding Club",Biology,Male
Volunteer Group,Artistic,Jammu & Kashmir,Graduate,Biology,6.64,English,"Coding Club, Volunteer Group, Art Club, Debate Club, Sports Team, Music Club",Computer science,Female
Sports Team,Programming,Ladakh,Graduate,Computer Science,5.42,"Spanish, Chinese, Japanese","Music Club, Sports Team",Mathematics,Female
Art Club,"Problem Solving, Leadership, Data Analysis",Lakshadweep,Junior,Physics,7.6,"French, Chinese, Japanese, German, Spanish, English","Art Club, Music Club, Debate Club, Coding Club, Volunteer Group",Computer science,Male
Art Club,"Data Analysis, Public Speaking",Puducherry,Freshman,Psychology,7.78,"Spanish, Japanese, English",Volunteer Group,Computer science,Female
Sports Team,"Public Speaking, Artistic, Programming",Bihar,Freshman,Physics,5.16,"French, Japanese, Spanish",Coding Club,Computer science,Male
Sports Team,Problem Solving,Chhattisgarh,Sophomore,Biology,7.3,"German, Japanese",Art Club,Mathematics,Female
Sports Team,"Artistic, Data Analysis",Goa,Senior,Mathematics,4.98,"French, Chinese","Music Club, Debate Club, Art Club, Coding Club, Sports Team, Volunteer Group",History,Female
Music Club,"Data Analysis, Public Speaking, Artistic, Leadership, Problem Solving, Programming",Gujarat,Sophomore,Physics,6.82,"Spanish, German","Music Club, Debate Club, Volunteer Group",History,Male
Art Club,"Problem Solving, Data Analysis",Haryana,Senior,Mathematics,6.18,Spanish,"Sports Team, Coding Club, Debate Club, Art Club, Music Club",Mathematics,Male
Music Club,Programming,Himachal Pradesh,Graduate,Computer Science,6.94,German,"Sports Team, Coding Club, Music Club, Debate Club, Art Club, Volunteer Group",History,Male
Art Club,"Artistic, Problem Solving, Programming, Public Speaking",Jharkhand,Senior,Computer Science,6.2,"German, Chinese, French","Music Club, Volunteer Group, Coding Club",Computer science,Female
Volunteer Group,"Artistic, Problem Solving, Leadership, Public Speaking",Karnataka,Freshman,Computer Science,7.44,Japanese,"Sports Team, Volunteer Group",Computer science,Male
Volunteer Group,"Problem Solving, Data Analysis, Programming, Public Speaking",Kerala,Graduate,History,6.02,English,"Volunteer Group, Music Club, Coding Club, Debate Club, Sports Team",Mathematics,Female
Coding Club,"Problem Solving, Public Speaking, Leadership",Madhya Pradesh,Junior,Computer Science,4.04,"Japanese, German, English, Chinese","Art Club, Debate Club, Coding Club, Music Club, Volunteer Group, Sports Team",History,Female
Music Club,"Problem Solving, Programming, Artistic, Leadership",Maharashtra,Junior,Psychology,5.78,"German, French, Chinese","Art Club, Music Club, Coding Club, Volunteer Group, Sports Team",Biology,Male
Coding Club,"Problem Solving, Public Speaking, Artistic, Programming",Manipur,Graduate,Mathematics,4.28,"French, Japanese, German, Spanish","Volunteer Group, Sports Team",Biology,Male
Sports Team,"Artistic, Data Analysis, Programming, Problem Solving, Leadership",Meghalaya,Freshman,Mathematics,6.98,"Spanish, German, English, Chinese, Japanese","Sports Team, Debate Club, Volunteer Group, Music Club, Coding Club",Computer science,Female
Volunteer Group,"Data Analysis, Programming, Artistic, Public Speaking, Leadership",Mizoram,Sophomore,Computer Science,4.32,"Spanish, Japanese, English, Chinese, German","Music Club, Debate Club, Coding Club, Art Club, Volunteer Group",History,Female
Coding Club,"Data Analysis, Leadership, Programming, Problem Solving",Nagaland,Graduate,History,5.14,"Chinese, Spanish, English, Japanese, German, French","Debate Club, Coding Club, Sports Team, Music Club",Mathematics,Male
Coding Club,"Problem Solving, Data Analysis, Leadership, Programming, Artistic",Odisha,Graduate,Biology,7.14,"French, German, Chinese, Japanese, Spanish, English",Art Club,Computer science,Male
Debate Club,Public Speaking,Punjab,Graduate,Psychology,5.0,French,"Sports Team, Coding Club, Debate Club, Music Club, Volunteer Group",Mathematics,Male
Sports Team,"Artistic, Data Analysis, Problem Solving, Leadership, Programming",Rajasthan,Sophomore,Biology,6.64,"Spanish, Chinese","Volunteer Group, Music Club, Art Club",Mathematics,Male
Music Club,"Problem Solving, Artistic",Sikkim,Sophomore,Mathematics,7.46,"Chinese, English, Spanish, Japanese, French, German","Coding Club, Debate Club, Art Club, Music Club, Sports Team, Volunteer Group",Computer science,Male
Sports Team,"Problem Solving, Leadership, Programming, Artistic, Data Analysis",Tamil Nadu,Freshman,Mathematics,5.54,"French, Chinese, Japanese","Art Club, Debate Club, Music Club, Volunteer Group",Mathematics,Female
Sports Team,"Leadership, Problem Solving, Programming, Public Speaking, Artistic, Data Analysis",Telangana,Sophomore,Mathematics,6.96,"French, Chinese, Spanish","Music Club, Art Club",Biology,Female
Sports Team,"Public Speaking, Problem Solving, Programming, Data Analysis",Tripura,Junior,Biology,5.0,"French, English","Volunteer Group, Sports Team, Music Club, Debate Club, Coding Club",Biology,Female
Coding Club,"Problem Solving, Leadership, Data Analysis, Artistic",Uttar Pradesh,Sophomore,Computer Science,4.84,"Japanese, Spanish, French, German, Chinese, English","Coding Club, Sports Team, Art Club, Music Club",History,Female
Coding Club,"Artistic, Programming, Data Analysis, Leadership, Problem Solving, Public Speaking",Uttarakhand,Senior,Physics,4.14,"Chinese, Spanish","Volunteer Group, Music Club, Art Club",History,Male
Music Club,"Leadership, Public Speaking",West Bengal,Sophomore,History,6.36,"German, French, Chinese, Spanish, Japanese, English","Volunteer Group, Art Club, Sports Team, Coding Club, Music Club",Computer science,Male
Volunteer Group,"Public Speaking, Data Analysis",Andhra Pradesh,Senior,Biology,7.36,"German, Japanese, Chinese, English, Spanish","Coding Club, Debate Club, Volunteer Group, Sports Team, Music Club, Art Club",Computer science,Male
Debate Club,"Data Analysis, Public Speaking, Leadership, Programming, Problem Solving, Artistic",Arunachal Pradesh,Freshman,Computer Science,6.96,"Spanish, French, English","Coding Club, Art Club, Music Club, Volunteer Group, Sports Team",Biology,Female
Art Club,Public Speaking,Assam,Freshman,Psychology,4.46,"Japanese, Spanish, Chinese, French","Coding Club, Music Club",History,Female
Coding Club,"Leadership, Programming, Data Analysis, Problem Solving, Public Speaking",Andaman & Nicobar Islands,Freshman,Mathematics,6.58,"English, German","Art Club, Coding Club, Music Club, Sports Team, Volunteer Group",Computer science,Male
Debate Club,"Leadership, Artistic, Problem Solving, Public Speaking, Data Analysis, Programming",Chandigarh,Sophomore,Mathematics,7.0,"French, English, Japanese, Chinese, Spanish, German","Sports Team, Coding Club, Art Club",Mathematics,Male
Debate Club,"Data Analysis, Artistic, Problem Solving, Public Speaking, Programming",Dadra & Nagar Haveli and Daman & Diu,Sophomore,Physics,5.84,"German, Spanish, Chinese",Sports Team,Computer science,Female
Art Club,"Data Analysis, Leadership, Public Speaking, Programming, Problem Solving, Artistic",Delhi,Sophomore,Biology,6.78,"Japanese, German",Music Club,Computer science,Female
Volunteer Group,"Artistic, Programming",Jammu & Kashmir,Senior,Mathematics,6.64,"English, French","Volunteer Group, Music Club, Sports Team",Computer science,Male
Music Club,"Programming, Leadership, Data Analysis",Ladakh,Senior,Mathematics,5.48,"Chinese, English, German, Japanese","Sports Team, Debate Club, Volunteer Group, Coding Club, Art Club, Music Club",History,Male
Art Club,"Public Speaking, Artistic, Programming",Lakshadweep,Senior,Computer Science,7.4,"English, Chinese","Volunteer Group, Debate Club, Art Club",Mathematics,Female
Music Club,"Programming, Artistic, Problem Solving, Public Speaking",Puducherry,Junior,Computer Science,7.38,"French, English, Chinese, German, Japanese",Sports Team,Mathematics,Male
